epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,276.183,0.17281,0.19619,0.15441,0.77888,0.98942,0.98571,0.99324,0.99214,0.98942,0.98571,0.99324,0.90168,0.16053,0.19855,0.16749,0.77348,0.000404194,0.000404194,0.000404194
31,285.256,0.17197,0.19071,0.15439,0.77536,0.99474,0.98477,0.99395,0.99002,0.99474,0.98477,0.99395,0.91295,0.15889,0.19275,0.16098,0.7722,0.000397977,0.000397977,0.000397977
32,294.367,0.17268,0.20128,0.15337,0.77724,0.99282,0.98485,0.99395,0.98997,0.99282,0.98485,0.99395,0.91341,0.15604,0.19192,0.15429,0.77081,0.000391616,0.000391616,0.000391616
33,303.489,0.1691,0.19078,0.1546,0.77341,0.98886,0.99048,0.99419,0.9909,0.98886,0.99048,0.99419,0.9113,0.16316,0.18915,0.15881,0.77443,0.000385117,0.000385117,0.000385117
34,312.522,0.1665,0.19199,0.15091,0.77256,0.97783,0.99475,0.99257,0.98686,0.98519,0.98571,0.99257,0.9085,0.17071,0.19259,0.16594,0.77644,0.000378488,0.000378488,0.000378488
35,321.553,0.16652,0.18616,0.15044,0.77143,0.97845,0.99524,0.99181,0.9894,0.98738,0.98571,0.99181,0.91095,0.15961,0.18966,0.15912,0.77244,0.000371734,0.000371734,0.000371734
36,330.658,0.1647,0.18835,0.14725,0.771,0.99184,0.98571,0.99338,0.99072,0.99184,0.98571,0.99338,0.91352,0.15906,0.19061,0.14793,0.7733,0.000364863,0.000364863,0.000364863
37,339.83,0.16735,0.19093,0.15156,0.77454,0.99164,0.98571,0.99319,0.98979,0.99164,0.98571,0.99319,0.91388,0.16429,0.19424,0.15347,0.77471,0.00035788,0.00035788,0.00035788
38,348.929,0.16434,0.18645,0.14879,0.77388,0.99181,0.98571,0.99367,0.9896,0.99181,0.98571,0.99367,0.91176,0.16041,0.19066,0.15297,0.7756,0.000350794,0.000350794,0.000350794
39,357.996,0.16468,0.18895,0.14861,0.77481,0.99307,0.98571,0.99267,0.98959,0.99307,0.98571,0.99267,0.91162,0.15792,0.1903,0.16035,0.77488,0.000343611,0.000343611,0.000343611
40,367.095,0.16477,0.18811,0.148,0.77241,0.99387,0.98554,0.99257,0.99047,0.99387,0.98554,0.99253,0.90922,0.15794,0.191,0.15183,0.77372,0.000336338,0.000336338,0.000336338
41,376.194,0.16146,0.1922,0.14634,0.76774,0.99245,0.98571,0.9931,0.9907,0.99245,0.98571,0.9931,0.91122,0.15642,0.19442,0.15562,0.77782,0.000328982,0.000328982,0.000328982
42,385.341,0.16537,0.1933,0.14608,0.77199,0.99267,0.98571,0.99357,0.99031,0.99267,0.98571,0.99357,0.90991,0.1554,0.19364,0.15119,0.77589,0.00032155,0.00032155,0.00032155
43,394.434,0.16125,0.18953,0.1464,0.76913,0.99337,0.98571,0.9941,0.99136,0.99337,0.98571,0.9941,0.91163,0.15739,0.19476,0.15427,0.77141,0.000314051,0.000314051,0.000314051
44,403.53,0.16341,0.19356,0.14573,0.769,0.99279,0.98571,0.99405,0.99168,0.99279,0.98571,0.99405,0.91076,0.1582,0.19182,0.14887,0.7698,0.00030649,0.00030649,0.00030649
45,412.64,0.16044,0.19465,0.14289,0.76964,0.98437,0.986,0.99367,0.99058,0.98449,0.98571,0.99358,0.9057,0.15915,0.19691,0.14781,0.77042,0.000298877,0.000298877,0.000298877
46,421.791,0.16223,0.19351,0.14622,0.77746,0.97775,0.99524,0.99386,0.99075,0.99384,0.98095,0.99381,0.90851,0.1573,0.19083,0.14688,0.76972,0.000291218,0.000291218,0.000291218
47,430.957,0.16045,0.18611,0.14534,0.77843,0.99435,0.98095,0.99257,0.99006,0.99435,0.98095,0.99257,0.90812,0.15631,0.19488,0.15572,0.77015,0.00028352,0.00028352,0.00028352
48,439.989,0.16047,0.18466,0.14361,0.77121,0.99462,0.98484,0.99353,0.99163,0.99462,0.98484,0.99353,0.90833,0.15528,0.19617,0.15262,0.77167,0.000275792,0.000275792,0.000275792
49,449.073,0.15823,0.18785,0.14238,0.77351,0.98176,0.99469,0.99372,0.99112,0.99148,0.98571,0.99372,0.91002,0.15738,0.19737,0.14559,0.7706,0.000268041,0.000268041,0.000268041
50,458.115,0.15965,0.19137,0.14265,0.77197,0.9925,0.98571,0.99395,0.99221,0.9925,0.98571,0.99395,0.9078,0.15169,0.19404,0.15026,0.77304,0.000260274,0.000260274,0.000260274
51,467.186,0.15555,0.18771,0.14294,0.77116,0.99413,0.98571,0.99405,0.99179,0.99413,0.98571,0.99405,0.90881,0.15192,0.19592,0.14625,0.77187,0.0002525,0.0002525,0.0002525
