epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,206.099,0.3009,0.32696,0.27554,0.80925,0.98925,0.97606,0.99274,0.98195,0.98925,0.97606,0.99274,0.85678,0.19963,0.2466,0.20988,0.78767,0.000952889,0.000952889,0.000952889
30,213.056,0.29643,0.31469,0.27657,0.81134,0.98996,0.99048,0.99195,0.98513,0.98996,0.99048,0.99195,0.86026,0.18597,0.21655,0.19615,0.77534,0.000949524,0.000949524,0.000949524
31,220.103,0.29538,0.33756,0.27771,0.80992,0.98702,0.99048,0.9909,0.98352,0.98702,0.99048,0.9909,0.85964,0.19189,0.22355,0.19449,0.7748,0.000946048,0.000946048,0.000946048
32,227.156,0.29307,0.32466,0.27485,0.80669,0.98172,0.99048,0.99081,0.98378,0.98172,0.99048,0.99081,0.85936,0.18368,0.21081,0.20792,0.7747,0.000942464,0.000942464,0.000942464
33,234.255,0.29955,0.33656,0.27171,0.80429,0.98966,0.99008,0.9909,0.98449,0.98966,0.99008,0.9909,0.85917,0.18812,0.22341,0.19349,0.7748,0.000938772,0.000938772,0.000938772
34,241.073,0.29869,0.31683,0.26816,0.81229,0.98797,0.98961,0.99076,0.98445,0.98797,0.98961,0.99076,0.87026,0.19117,0.22531,0.19925,0.77689,0.000934973,0.000934973,0.000934973
35,247.906,0.29644,0.32697,0.26874,0.81154,0.98898,0.99048,0.99124,0.9854,0.98898,0.99048,0.99124,0.87965,0.18648,0.21323,0.19787,0.7754,0.000931067,0.000931067,0.000931067
36,254.744,0.30007,0.3252,0.26883,0.81082,0.98771,0.99048,0.99162,0.98584,0.98771,0.99048,0.99162,0.86963,0.19158,0.21237,0.20015,0.77766,0.000927057,0.000927057,0.000927057
37,261.535,0.2851,0.31439,0.26573,0.80539,0.98982,0.9901,0.99133,0.98413,0.98982,0.9901,0.99133,0.87752,0.18776,0.21646,0.20446,0.77725,0.000922942,0.000922942,0.000922942
38,268.343,0.28509,0.30402,0.26294,0.80564,0.98543,0.99048,0.991,0.9869,0.98543,0.99048,0.991,0.86949,0.18423,0.20721,0.20201,0.77415,0.000918725,0.000918725,0.000918725
39,275.114,0.28364,0.32499,0.2615,0.80438,0.98309,0.99048,0.99193,0.98738,0.98309,0.99048,0.99193,0.87117,0.17762,0.21239,0.18389,0.7713,0.000914405,0.000914405,0.000914405
40,281.949,0.28352,0.30921,0.25756,0.8051,0.9794,0.98571,0.99246,0.98552,0.9794,0.98571,0.99246,0.86144,0.17979,0.2212,0.19458,0.7726,0.000909984,0.000909984,0.000909984
41,288.751,0.28984,0.31681,0.26461,0.8053,0.98825,0.98095,0.99214,0.98656,0.98825,0.98095,0.99214,0.87251,0.1861,0.20861,0.18965,0.77174,0.000905463,0.000905463,0.000905463
42,295.539,0.28382,0.30718,0.26419,0.80812,0.98905,0.99048,0.99205,0.98588,0.98905,0.99048,0.99205,0.86676,0.18346,0.21188,0.19041,0.77375,0.000900844,0.000900844,0.000900844
43,302.374,0.27958,0.31254,0.25534,0.80725,0.98989,0.97972,0.99375,0.98545,0.98989,0.97972,0.99375,0.85206,0.18238,0.21823,0.19534,0.77559,0.000896127,0.000896127,0.000896127
44,309.167,0.28161,0.30851,0.25175,0.80387,0.98497,0.98973,0.99167,0.9825,0.98497,0.98973,0.99167,0.87504,0.19702,0.22049,0.20498,0.78682,0.000891313,0.000891313,0.000891313
45,316.01,0.27429,0.31061,0.24896,0.80862,0.98426,0.99023,0.99457,0.98711,0.98426,0.99023,0.99457,0.86541,0.17623,0.21705,0.1864,0.77377,0.000886404,0.000886404,0.000886404
46,322.83,0.27725,0.3089,0.25522,0.80579,0.98775,0.98571,0.99136,0.97961,0.98775,0.98571,0.99136,0.86896,0.18968,0.22679,0.19563,0.78432,0.000881401,0.000881401,0.000881401
47,329.572,0.27921,0.30328,0.25398,0.80794,0.98984,0.99048,0.99238,0.98589,0.98984,0.99048,0.99238,0.87518,0.17985,0.20925,0.18284,0.77289,0.000876305,0.000876305,0.000876305
48,336.323,0.28399,0.30484,0.25396,0.80457,0.98417,0.98582,0.99186,0.98514,0.98417,0.98582,0.99186,0.86853,0.17941,0.20715,0.20082,0.77263,0.000871117,0.000871117,0.000871117
49,343.119,0.27098,0.30508,0.2466,0.80531,0.98883,0.99048,0.99243,0.98575,0.98883,0.99048,0.99243,0.87291,0.17735,0.20131,0.18447,0.77174,0.000865839,0.000865839,0.000865839
50,349.863,0.27557,0.30633,0.24775,0.80244,0.98893,0.99048,0.99214,0.98835,0.98893,0.99048,0.99214,0.87908,0.17423,0.21191,0.18145,0.77392,0.000860473,0.000860473,0.000860473
51,356.687,0.27001,0.30141,0.246,0.80546,0.98471,0.98873,0.99233,0.98577,0.98471,0.98873,0.99233,0.86987,0.18361,0.22468,0.18614,0.7762,0.000855018,0.000855018,0.000855018
52,363.489,0.27768,0.31242,0.24931,0.80616,0.98294,0.98571,0.9925,0.98607,0.98294,0.98571,0.9925,0.88093,0.17715,0.2066,0.18607,0.77393,0.000849477,0.000849477,0.000849477
53,370.4,0.27444,0.29522,0.24299,0.80445,0.98525,0.98674,0.99233,0.98681,0.98525,0.98674,0.99233,0.88552,0.17359,0.21288,0.18051,0.77306,0.000843851,0.000843851,0.000843851
54,377.177,0.27099,0.2998,0.24348,0.81034,0.98862,0.98457,0.99423,0.9899,0.98862,0.98457,0.99423,0.88654,0.16856,0.20486,0.17774,0.77065,0.000838141,0.000838141,0.000838141
55,384.041,0.27547,0.3032,0.24939,0.80237,0.98984,0.98972,0.99138,0.98585,0.98984,0.98972,0.99138,0.87912,0.17425,0.20872,0.17744,0.7708,0.000832349,0.000832349,0.000832349
56,390.799,0.27386,0.30392,0.24231,0.80228,0.99463,0.98571,0.99257,0.98716,0.99463,0.98571,0.99257,0.88093,0.17117,0.20962,0.17611,0.77122,0.000826477,0.000826477,0.000826477
57,397.561,0.27138,0.30318,0.24204,0.8032,0.98917,0.98617,0.9931,0.98822,0.98917,0.98617,0.9931,0.87835,0.17175,0.20502,0.17513,0.77275,0.000820525,0.000820525,0.000820525
58,404.336,0.26706,0.29785,0.23992,0.8011,0.98851,0.99048,0.99471,0.99034,0.98851,0.99048,0.99471,0.87425,0.17386,0.20596,0.1766,0.77181,0.000814495,0.000814495,0.000814495
59,411.15,0.26702,0.29948,0.24078,0.80435,0.99411,0.98571,0.99329,0.98762,0.99411,0.98571,0.99329,0.88694,0.17386,0.20862,0.17078,0.7715,0.000808389,0.000808389,0.000808389
60,417.96,0.2689,0.30007,0.23627,0.80183,0.99076,0.98095,0.99334,0.98922,0.99076,0.98095,0.99334,0.87554,0.16891,0.20298,0.17806,0.77009,0.000802208,0.000802208,0.000802208
61,424.828,0.27049,0.29784,0.24304,0.79826,0.98794,0.99048,0.99305,0.98866,0.98794,0.99048,0.99305,0.87653,0.17262,0.20812,0.17244,0.77152,0.000795954,0.000795954,0.000795954
62,431.663,0.27147,0.30357,0.24288,0.80255,0.99302,0.98858,0.99086,0.98601,0.99302,0.98858,0.99086,0.8761,0.16786,0.21366,0.17668,0.77107,0.000789628,0.000789628,0.000789628
63,438.43,0.26099,0.29404,0.23309,0.80151,0.9949,0.98857,0.99186,0.98858,0.9949,0.98857,0.99186,0.88886,0.16937,0.20485,0.17057,0.77097,0.000783231,0.000783231,0.000783231
64,445.167,0.26162,0.28891,0.23359,0.80153,0.98911,0.99048,0.99076,0.9864,0.98911,0.99048,0.99076,0.88499,0.16546,0.20434,0.17139,0.77132,0.000776766,0.000776766,0.000776766
65,451.978,0.26376,0.29389,0.23637,0.80466,0.98907,0.98571,0.9901,0.98509,0.98907,0.98571,0.9901,0.87502,0.16869,0.20274,0.18065,0.7727,0.000770234,0.000770234,0.000770234
66,458.785,0.26866,0.29449,0.23282,0.80215,0.98955,0.98812,0.99124,0.98699,0.98955,0.98812,0.99124,0.87697,0.17525,0.20981,0.18396,0.77289,0.000763637,0.000763637,0.000763637
67,465.575,0.26466,0.28851,0.23214,0.80235,0.99015,0.98957,0.992,0.98835,0.99015,0.98957,0.992,0.88638,0.1673,0.20397,0.18373,0.7711,0.000756976,0.000756976,0.000756976
68,472.378,0.25806,0.28527,0.22889,0.80504,0.98795,0.98571,0.99362,0.98719,0.98795,0.98571,0.99362,0.87856,0.1725,0.19818,0.17833,0.78108,0.000750252,0.000750252,0.000750252
69,479.349,0.26037,0.2838,0.23142,0.80037,0.98439,0.99048,0.99248,0.99012,0.98439,0.99048,0.99248,0.89006,0.16322,0.19772,0.16699,0.77018,0.000743468,0.000743468,0.000743468
70,486.166,0.26562,0.30651,0.22982,0.80082,0.9848,0.99048,0.99257,0.98963,0.9848,0.99048,0.99257,0.88417,0.17002,0.212,0.17323,0.77289,0.000736625,0.000736625,0.000736625
71,493.01,0.26859,0.30108,0.23469,0.80325,0.98451,0.98571,0.99057,0.98609,0.98451,0.98571,0.99057,0.87837,0.16486,0.21464,0.17771,0.77136,0.000729725,0.000729725,0.000729725
72,499.936,0.26094,0.29584,0.23384,0.80351,0.98938,0.98571,0.99019,0.98533,0.98938,0.98571,0.99019,0.87501,0.16993,0.20456,0.17634,0.77095,0.00072277,0.00072277,0.00072277
73,506.798,0.2566,0.29034,0.22214,0.79908,0.99071,0.97995,0.991,0.98577,0.99071,0.97995,0.991,0.87708,0.16365,0.20482,0.17285,0.77058,0.000715761,0.000715761,0.000715761
74,513.525,0.25756,0.29839,0.22708,0.80157,0.99071,0.98571,0.9921,0.98851,0.99071,0.98571,0.9921,0.86652,0.16717,0.20524,0.17141,0.77126,0.0007087,0.0007087,0.0007087
75,520.333,0.26312,0.28577,0.22914,0.80035,0.97919,0.98924,0.99086,0.98697,0.97919,0.98924,0.99086,0.8905,0.16373,0.20732,0.17917,0.77224,0.000701588,0.000701588,0.000701588
76,527.062,0.2572,0.2873,0.22634,0.80421,0.98801,0.98226,0.99068,0.98584,0.98801,0.98226,0.99068,0.88134,0.16752,0.21082,0.1705,0.77129,0.000694428,0.000694428,0.000694428
77,533.825,0.26089,0.29216,0.23171,0.80424,0.99202,0.98571,0.991,0.98516,0.99202,0.98571,0.991,0.88794,0.17219,0.20132,0.17862,0.77193,0.000687222,0.000687222,0.000687222
78,540.646,0.25743,0.30001,0.22586,0.80402,0.99263,0.98848,0.99038,0.98592,0.99263,0.98848,0.99038,0.87745,0.16688,0.20854,0.16523,0.76936,0.00067997,0.00067997,0.00067997
79,547.466,0.25932,0.29083,0.22717,0.80229,0.99469,0.99018,0.99038,0.98802,0.99469,0.99018,0.99038,0.87854,0.16412,0.20869,0.17463,0.77044,0.000672675,0.000672675,0.000672675
80,554.179,0.2544,0.2891,0.2271,0.80162,0.99409,0.98796,0.991,0.98793,0.99409,0.98796,0.991,0.88007,0.16143,0.20444,0.16383,0.76857,0.000665339,0.000665339,0.000665339
81,561.042,0.24959,0.2744,0.22064,0.80249,0.99066,0.98095,0.99202,0.9891,0.99066,0.98095,0.99202,0.88938,0.15387,0.20335,0.15313,0.76697,0.000657963,0.000657963,0.000657963
82,567.761,0.25242,0.28691,0.22279,0.80279,0.99311,0.98571,0.9919,0.98853,0.99311,0.98571,0.9919,0.89216,0.15844,0.20386,0.15067,0.76804,0.00065055,0.00065055,0.00065055
83,574.559,0.24657,0.28813,0.21706,0.80033,0.99278,0.98571,0.99191,0.98878,0.99278,0.98571,0.99191,0.89079,0.15843,0.19746,0.16929,0.76961,0.000643101,0.000643101,0.000643101
84,581.309,0.25139,0.28314,0.22232,0.79748,0.98806,0.99048,0.99362,0.98845,0.98806,0.99048,0.99362,0.89159,0.15917,0.2005,0.1653,0.76828,0.000635617,0.000635617,0.000635617
85,588.179,0.25333,0.27978,0.21845,0.80023,0.98997,0.98877,0.99133,0.98757,0.98997,0.98877,0.99133,0.88564,0.16168,0.2008,0.16302,0.76838,0.000628101,0.000628101,0.000628101
86,594.949,0.25173,0.28562,0.22236,0.80177,0.9916,0.99048,0.99171,0.98906,0.9916,0.99048,0.99171,0.89261,0.15968,0.19882,0.15971,0.76731,0.000620555,0.000620555,0.000620555
87,601.805,0.2531,0.28941,0.22336,0.80573,0.99085,0.98571,0.99286,0.98918,0.99085,0.98571,0.99286,0.88538,0.15547,0.19437,0.15867,0.76767,0.000612981,0.000612981,0.000612981
88,608.599,0.24975,0.27897,0.21646,0.79958,0.9912,0.98571,0.99457,0.99171,0.9912,0.98571,0.99457,0.88438,0.15748,0.19834,0.16103,0.76866,0.00060538,0.00060538,0.00060538
89,615.362,0.25503,0.27957,0.22115,0.80293,0.9905,0.98561,0.99467,0.99153,0.9905,0.98561,0.99467,0.88661,0.15714,0.2055,0.15976,0.76925,0.000597754,0.000597754,0.000597754
90,622.193,0.25312,0.28514,0.22177,0.8025,0.99039,0.98642,0.99303,0.98917,0.99039,0.98642,0.99303,0.88807,0.15993,0.20194,0.17084,0.77088,0.000590105,0.000590105,0.000590105
91,628.945,0.25068,0.28554,0.21851,0.80268,0.99327,0.98978,0.9919,0.98868,0.99327,0.98978,0.9919,0.88632,0.15307,0.20047,0.15995,0.76716,0.000582435,0.000582435,0.000582435
92,635.751,0.2486,0.28883,0.2192,0.79937,0.99359,0.98984,0.99214,0.98808,0.99359,0.98984,0.99214,0.88544,0.15725,0.1952,0.16464,0.76881,0.000574746,0.000574746,0.000574746
93,642.475,0.24537,0.28622,0.2104,0.79962,0.99352,0.98913,0.99252,0.98927,0.99352,0.98913,0.99252,0.89255,0.16188,0.20415,0.1692,0.7685,0.00056704,0.00056704,0.00056704
94,649.303,0.2474,0.28133,0.21386,0.79843,0.99293,0.98571,0.99424,0.99085,0.99293,0.98571,0.99424,0.89401,0.15878,0.19439,0.16918,0.76814,0.000559318,0.000559318,0.000559318
95,656.117,0.24798,0.28707,0.21512,0.80082,0.99187,0.98571,0.99467,0.99234,0.99187,0.98571,0.99467,0.88787,0.15624,0.19637,0.16154,0.76737,0.000551584,0.000551584,0.000551584
96,662.958,0.2505,0.29289,0.21914,0.79901,0.99207,0.98571,0.993,0.9911,0.99207,0.98571,0.993,0.89519,0.15354,0.19621,0.16289,0.76817,0.000543837,0.000543837,0.000543837
97,669.808,0.2443,0.2706,0.21192,0.80045,0.99179,0.98571,0.99271,0.98807,0.99179,0.98571,0.99271,0.88881,0.15454,0.20092,0.15657,0.76723,0.000536081,0.000536081,0.000536081
98,676.69,0.2559,0.29023,0.22248,0.80214,0.99258,0.98571,0.9929,0.98957,0.99258,0.98571,0.9929,0.88708,0.1564,0.20216,0.15205,0.76659,0.000528318,0.000528318,0.000528318
99,683.454,0.24261,0.27653,0.21076,0.8028,0.98846,0.98879,0.99224,0.98976,0.98846,0.98879,0.99224,0.89566,0.15545,0.20235,0.15312,0.76622,0.000520548,0.000520548,0.000520548
100,690.234,0.24352,0.28371,0.2113,0.79874,0.99142,0.98751,0.9931,0.9904,0.99142,0.98751,0.9931,0.89061,0.15559,0.19942,0.15594,0.76782,0.000512775,0.000512775,0.000512775
101,697.029,0.24253,0.2637,0.21404,0.80284,0.99297,0.98571,0.993,0.98878,0.99297,0.98571,0.993,0.89681,0.15023,0.19836,0.15477,0.76704,0.000505,0.000505,0.000505
102,703.828,0.2372,0.26868,0.20411,0.79864,0.98341,0.99048,0.99193,0.99001,0.98341,0.99048,0.99193,0.88858,0.15141,0.20237,0.15293,0.76747,0.000497225,0.000497225,0.000497225
103,710.599,0.24021,0.2737,0.20715,0.7982,0.99312,0.98823,0.99267,0.98961,0.99312,0.98823,0.99267,0.88987,0.15555,0.20099,0.1621,0.76749,0.000489452,0.000489452,0.000489452
104,717.416,0.24023,0.2762,0.20897,0.79788,0.98966,0.98945,0.99338,0.99074,0.98966,0.98945,0.99338,0.89117,0.15897,0.19962,0.15947,0.76948,0.000481682,0.000481682,0.000481682
105,724.122,0.23927,0.27579,0.20453,0.80045,0.98925,0.98571,0.99262,0.98884,0.98925,0.98571,0.99262,0.89282,0.15239,0.19244,0.15734,0.76908,0.000473919,0.000473919,0.000473919
106,730.948,0.24573,0.28568,0.21052,0.79842,0.99099,0.98571,0.99252,0.98871,0.99099,0.98571,0.99252,0.89089,0.15262,0.19704,0.15515,0.76829,0.000466163,0.000466163,0.000466163
107,737.75,0.24211,0.27349,0.2085,0.80057,0.99037,0.98571,0.99295,0.98984,0.99037,0.98571,0.99295,0.89757,0.1509,0.19383,0.15181,0.76882,0.000458416,0.000458416,0.000458416
108,744.602,0.24649,0.27674,0.21012,0.80103,0.99096,0.98571,0.9921,0.99043,0.99096,0.98571,0.9921,0.8928,0.14942,0.20043,0.1569,0.76955,0.000450682,0.000450682,0.000450682
109,751.472,0.2404,0.26895,0.20885,0.7978,0.99153,0.98571,0.993,0.98907,0.99153,0.98571,0.993,0.88311,0.14927,0.19468,0.15065,0.76748,0.00044296,0.00044296,0.00044296
110,758.24,0.2383,0.27133,0.20922,0.80088,0.99273,0.98571,0.99195,0.9886,0.99273,0.98571,0.99195,0.8912,0.15234,0.19971,0.14883,0.76896,0.000435254,0.000435254,0.000435254
111,765.004,0.23422,0.27374,0.2021,0.79891,0.99096,0.98859,0.99067,0.9883,0.99096,0.98859,0.99067,0.8835,0.14945,0.19747,0.15119,0.76546,0.000427565,0.000427565,0.000427565
112,771.721,0.24056,0.28111,0.20622,0.79464,0.99195,0.98571,0.99048,0.98702,0.99195,0.98571,0.99048,0.8845,0.15301,0.20639,0.1516,0.76554,0.000419895,0.000419895,0.000419895
113,778.373,0.2316,0.26138,0.2003,0.79742,0.99323,0.98571,0.99048,0.98735,0.99323,0.98571,0.99048,0.8918,0.14722,0.20499,0.14616,0.76569,0.000412246,0.000412246,0.000412246
114,785.019,0.23595,0.26929,0.20288,0.79754,0.99234,0.98571,0.9919,0.989,0.99234,0.98571,0.9919,0.8838,0.14829,0.20601,0.1505,0.76615,0.00040462,0.00040462,0.00040462
115,791.661,0.23408,0.26933,0.19552,0.79798,0.99308,0.98571,0.99038,0.9876,0.99308,0.98571,0.99038,0.89439,0.15139,0.19957,0.15581,0.76704,0.000397019,0.000397019,0.000397019
116,798.458,0.23901,0.27356,0.20354,0.7966,0.99377,0.98928,0.99081,0.98683,0.99377,0.98928,0.99081,0.88978,0.15415,0.20743,0.14406,0.76772,0.000389445,0.000389445,0.000389445
